ID,center_1,spread_1,center_2,spread_2,action,p,perr,F,F_micro,exp,num,as,ts,creator
2-2119539851-COVERING,0.9603621006715994,0.03963789932840056,0.6276224518722484,0.35715294026909483,yellow,0.0,1.5716160014397877E-240,0.030580717861642733,0.004368673980234676,4970.0,7.0,237.15134215523773,299734.0,COVERING
3-1983868702-COVERING,0.2746552071592081,0.2746552071592081,0.0413518516109021,0.0413518516109021,yellow,0.0,6.64804435829485E-185,0.04970520119304268,0.004970520119304268,3822.0,10.0,216.99868090746426,299803.0,COVERING
9-159234313-COVERING,0.1592364505888373,0.1592364505888373,0.7040241779003704,0.18710048058240497,brown,0.0,1.0E-323,0.06777177117428942,0.00484084079816353,10351.0,14.0,211.0051950371846,299968.0,COVERING
12-2114335117-COVERING,0.6291990401535752,0.37080095984642475,0.20010522329133365,0.20010522329133365,black,0.0,1.0E-323,0.023960468917863423,0.0039934114863105705,25161.0,6.0,243.83043209455147,299964.0,COVERING
12-610862956-COVERING,0.7611421988932414,0.23885780110675853,0.06929933151633894,0.06929933151633894,blue,0.0,2.472437969712807E-267,0.009730057682944772,0.004865028841472386,5519.0,2.0,211.6805230660961,299814.0,COVERING
19-1547077468-COVERING,0.8455555052206676,0.15444449477933236,0.4932922382961553,0.16184497739366935,yellow,0.0,1.0E-323,0.030132552742717728,0.005022092123786288,8770.0,6.0,232.39158364304075,299839.0,COVERING
25-306064097-GA,0.2525587461112956,0.2525587461112956,0.6842521623488709,0.31574783765112907,yellow,0.0,0.0,0.05480245127105026,0.004982041024640933,27195.0,11.0,203.62318973960205,299997.0,GA
29-2105821152-COVERING,0.14559138702813396,0.14559138702813396,0.7723156447814595,0.1851376726316608,brown,0.0,1.0E-323,0.05729855759644871,0.005208959781495337,9428.0,11.0,205.4865899563443,299968.0,COVERING
30-1486712942-GA,0.9422863415054676,0.05771365849453236,0.43292417117622983,0.43292417117622983,beige,0.0,0.0,0.017389869943372046,0.005796623314457349,8417.0,3.0,180.8958668200343,299889.0,GA
52-272790587-COVERING,0.17026842764605726,0.17026842764605726,0.08742593269803678,0.08742593269803678,yellow,0.0,1.3240838618767885E-247,0.05022066856062189,0.005022066856062189,5116.0,10.0,214.37557897478905,299803.0,COVERING
70-1746423595-GA,1.0,0.0,0.09372289708435669,0.044875765948321183,blue,0.0,1.25,0.021306666666666668,0.021306666666666668,0.0,1.0,1.5,70.0,GA
89-1538778910-GA,0.6743544548070212,0.32564554519297884,0.1664333410862106,0.1664333410862106,yellow,0.0,0.0,0.018505944993001896,0.004626486248250474,18660.0,4.0,235.2389260073794,299945.0,GA
95-482206720-GA,0.05508172736552486,0.05508172736552486,0.4472608799031407,0.08898107037336667,beige,0.0,0.0,0.010576607794396828,0.005288303897198414,1714.0,2.0,171.35822318996938,299881.0,GA
99-1362443514-GA,0.3626233684458321,0.3626233684458321,1.0,0.0,blue,80.0,25.699733333333334,0.0439852937631984,0.0439852937631984,0.0,1.0,2.981333333333333,99.0,GA
103-437869163-GA,0.8999265262868685,0.10007347371313147,0.44773032215006825,0.2941814462197465,red,0.0,0.0,0.021590960482895966,0.005397740120723991,10142.0,4.0,195.56193686234081,299994.0,GA
130-1065683917-GA,0.9531751755673425,0.0468248244326574,0.4795358792529274,0.3259870033226058,red,0.0,0.0,0.04642910398991055,0.005803637998738819,5252.0,8.0,187.4189186154776,299994.0,GA
147-1599589339-GA,0.22644704990942816,0.22644704990942816,0.7247390237086868,0.2752609762913133,yellow,0.0,0.0,0.024071281891777308,0.004814256378355462,21185.0,5.0,202.47852699526598,299997.0,GA
164-74456568-GA,0.8150250911219907,0.09508280378455064,0.4535375332564361,0.29998865732611435,red,0.0,0.0,0.013059456060761863,0.004353152020253955,9844.0,3.0,216.86972609909014,299988.0,GA
166-1138403506-GA,0.36658912503184204,0.36658912503184204,0.2854140934062809,0.2854140934062809,black,0.0,0.0,0.0245081298042159,0.00408468830070265,35784.0,6.0,250.24017865080071,299970.0,GA
170-601170077-GA,0.6166054158590937,0.3201546284145198,1.0,0.0,white,892.9444798464,69.15059736029866,0.033612748540809145,0.033612748540809145,0.0,1.0,3.669101178879999,170.0,GA
175-22239597-GA,0.21908507155649398,0.21908507155649398,0.6862612489769652,0.31373875102303483,yellow,0.0,0.0,0.06174410678195992,0.004749546675535379,23271.0,13.0,201.13338833950579,299997.0,GA
192-808736850-GA,0.2525587461112956,0.2525587461112956,0.6862612489769652,0.31373875102303483,yellow,0.0,0.0,0.058620189997197696,0.0053291081815634266,27033.0,11.0,203.62318973960197,299997.0,GA
194-871831724-GA,0.5304079128806679,0.20210904019399664,0.1664333410862106,0.1664333410862106,yellow,0.0,0.0,0.023899679202191874,0.004779935840438375,11644.0,5.0,229.64445179474595,300000.0,GA
200-1827767644-COVERING,0.25300124579494476,0.25300124579494476,0.6373984290822735,0.19120669357734277,brown,0.0,1.0E-323,0.01731428615461328,0.00432857153865332,16753.0,4.0,252.7437056844498,299983.0,COVERING
217-36219942-COVERING,0.24873079818828106,0.24873079818828106,0.8919581391746353,0.10804186082536471,brown,0.0,1.0E-323,0.015246423015424958,0.005082141005141653,9407.0,3.0,214.1290837216991,299948.0,COVERING
229-857572146-GA,0.2525587461112956,0.2525587461112956,0.649382332348512,0.35061766765148805,yellow,0.0,0.0,0.02514904537906281,0.0050298090758125625,30147.0,5.0,214.8926957300608,300000.0,GA
230-1152062697-GA,0.16656997115336927,0.16656997115336927,0.3197042904101616,0.299783171526421,blue,0.0,0.0,0.012550949995651357,0.004183649998550453,17273.0,3.0,247.76151483731806,299967.0,GA
